,Store,Date,Temperature
136,1,2012-09-14,49.71
137,1,2012-09-21,51.5
138,1,2012-09-28,30.97
139,1,2012-10-05,80.09
140,1,2012-10-12,92.58
141,1,2012-10-19,75.46
142,1,2012-10-26,94.91
143,1,2012-11-02,74.89
144,1,2012-11-09,65.32
145,1,2012-11-16,91.78
146,1,2012-11-23,91.03
147,1,2012-11-30,62.55
148,1,2012-12-07,89.85
149,1,2012-12-14,82.07
150,1,2012-12-21,66.34
151,1,2012-12-28,62.17
152,1,2013-01-04,62.12
153,1,2013-01-11,75.0
154,1,2013-01-18,54.56
155,1,2013-01-25,74.7
156,1,2013-02-01,76.39
157,1,2013-02-08,68.9
158,1,2013-02-15,57.57
159,1,2013-02-22,73.64
160,1,2013-03-01,47.85
161,1,2013-03-08,42.35
162,1,2013-03-15,74.06
163,1,2013-03-22,46.7
164,1,2013-03-29,81.49
165,1,2013-04-05,60.29
166,1,2013-04-12,88.42
167,1,2013-04-19,57.95
168,1,2013-04-26,65.67
169,1,2013-05-03,40.08
170,1,2013-05-10,78.13
171,1,2013-05-17,36.66
172,1,2013-05-24,50.5
173,1,2013-05-31,80.8
174,1,2013-06-07,31.9
175,1,2013-06-14,15.32
176,1,2013-06-21,74.09
177,1,2013-06-28,38.52
178,1,2013-07-05,30.2
179,1,2013-07-12,80.73
180,1,2013-07-19,48.38
181,1,2013-07-26,29.95
182,2,2010-02-05,50.62
183,2,2010-02-12,53.89
184,2,2010-02-19,69.36
185,2,2010-02-26,48.5
186,2,2010-03-05,97.52
187,2,2010-03-12,65.99
188,2,2010-03-19,48.06
189,2,2010-03-26,82.62
190,2,2010-04-02,88.76
191,2,2010-04-09,66.59
192,2,2010-04-16,63.7
193,2,2010-04-23,69.75
194,2,2010-04-30,60.06
195,2,2010-05-07,60.59
196,2,2010-05-14,56.93
197,2,2010-05-21,30.26
198,2,2010-05-28,41.92
199,2,2010-06-04,74.1
200,2,2010-06-11,67.97
201,2,2010-06-18,58.93
202,2,2010-06-25,76.54
203,2,2010-07-02,56.48
204,2,2010-07-09,50.47
205,2,2010-07-16,79.41
206,2,2010-07-23,75.21
207,2,2010-07-30,42.16
208,2,2010-08-06,81.73
209,2,2010-08-13,76.99
210,2,2010-08-20,69.47
211,2,2010-08-27,63.18
212,2,2010-09-03,72.21
213,2,2010-09-10,49.83
214,2,2010-09-17,52.28
215,2,2010-09-24,51.08
216,2,2010-10-01,27.31
217,2,2010-10-08,31.88
218,2,2010-10-15,64.58
219,2,2010-10-22,65.17
220,2,2010-10-29,83.69
221,2,2010-11-05,40.17
222,2,2010-11-12,75.63
223,2,2010-11-19,52.94
224,2,2010-11-26,76.85
225,2,2010-12-03,68.34
226,2,2010-12-10,61.87
227,2,2010-12-17,77.15
228,2,2010-12-24,26.59
229,2,2010-12-31,25.45
230,2,2011-01-07,86.63
231,2,2011-01-14,57.51
232,2,2011-01-21,45.7
233,2,2011-01-28,79.03
234,2,2011-02-04,29.9
235,2,2011-02-11,48.89
236,2,2011-02-18,91.13
237,2,2011-02-25,86.72
238,2,2011-03-04,84.14
239,2,2011-03-11,36.04
240,2,2011-03-18,29.14
241,2,2011-03-25,65.33
242,2,2011-04-01,33.35
243,2,2011-04-08,70.1
244,2,2011-04-15,57.15
245,2,2011-04-22,44.84
246,2,2011-04-29,53.76
247,2,2011-05-06,34.93
248,2,2011-05-13,43.17
249,2,2011-05-20,89.7
250,2,2011-05-27,48.49
251,2,2011-06-03,16.85
252,2,2011-06-10,14.09
253,2,2011-06-17,44.3
254,2,2011-06-24,82.86
255,2,2011-07-01,51.96
256,2,2011-07-08,69.98
257,2,2011-07-15,65.47
258,2,2011-07-22,47.94
259,2,2011-07-29,39.59
260,2,2011-08-05,42.36
261,2,2011-08-12,71.38
262,2,2011-08-19,59.04
263,2,2011-08-26,73.12
264,2,2011-09-02,21.19
265,2,2011-09-09,90.4
266,2,2011-09-16,39.88
267,2,2011-09-23,63.16
268,2,2011-09-30,52.06
269,2,2011-10-07,75.1
270,2,2011-10-14,68.17
271,2,2011-10-21,44.58
272,2,2011-10-28,56.65
273,2,2011-11-04,47.16
274,2,2011-11-11,67.42
275,2,2011-11-18,51.51
276,2,2011-11-25,84.59
277,2,2011-12-02,59.29
278,2,2011-12-09,59.39
279,2,2011-12-16,78.94
280,2,2011-12-23,45.18
281,2,2011-12-30,34.91
282,2,2012-01-06,65.11
283,2,2012-01-13,75.02
284,2,2012-01-20,79.92
285,2,2012-01-27,41.37
286,2,2012-02-03,71.67
287,2,2012-02-10,57.34
288,2,2012-02-17,36.99
289,2,2012-02-24,26.65
290,2,2012-03-02,33.8
291,2,2012-03-09,84.81
292,2,2012-03-16,15.16
293,2,2012-03-23,44.27
294,2,2012-03-30,87.29
295,2,2012-04-06,52.63
296,2,2012-04-13,52.54
297,2,2012-04-20,51.02
298,2,2012-04-27,64.68
299,2,2012-05-04,57.84
300,2,2012-05-11,45.09
301,2,2012-05-18,72.73
302,2,2012-05-25,69.32
303,2,2012-06-01,57.43
304,2,2012-06-08,69.5
305,2,2012-06-15,85.0
306,2,2012-06-22,56.94
307,2,2012-06-29,62.46
308,2,2012-07-06,39.38
309,2,2012-07-13,48.44
310,2,2012-07-20,68.08
311,2,2012-07-27,77.37
312,2,2012-08-03,33.76
313,2,2012-08-10,47.25
314,2,2012-08-17,58.76
315,2,2012-08-24,59.48
316,2,2012-08-31,67.34
317,2,2012-09-07,52.99
318,2,2012-09-14,81.32
319,2,2012-09-21,63.2
320,2,2012-09-28,65.79
321,2,2012-10-05,32.65
322,2,2012-10-12,69.97
323,2,2012-10-19,72.96
324,2,2012-10-26,57.86
325,2,2012-11-02,68.62
326,2,2012-11-09,73.28
327,2,2012-11-16,78.94
328,2,2012-11-23,88.07
329,2,2012-11-30,44.2
330,2,2012-12-07,37.06
331,2,2012-12-14,63.93
332,2,2012-12-21,60.53
333,2,2012-12-28,48.36
334,2,2013-01-04,93.89
335,2,2013-01-11,62.55
336,2,2013-01-18,41.24
337,2,2013-01-25,80.0
338,2,2013-02-01,81.61
339,2,2013-02-08,60.35
340,2,2013-02-15,79.01
341,2,2013-02-22,51.73
342,2,2013-03-01,67.24
343,2,2013-03-08,50.97
344,2,2013-03-15,76.68
345,2,2013-03-22,75.6
346,2,2013-03-29,50.25
347,2,2013-04-05,30.2
348,2,2013-04-12,77.31
349,2,2013-04-19,77.21
350,2,2013-04-26,68.12
351,2,2013-05-03,61.81
352,2,2013-05-10,61.16
353,2,2013-05-17,62.7
354,2,2013-05-24,94.52
355,2,2013-05-31,73.97
356,2,2013-06-07,48.94
357,2,2013-06-14,50.84
358,2,2013-06-21,65.95
359,2,2013-06-28,67.99
360,2,2013-07-05,79.55
361,2,2013-07-12,87.22
362,2,2013-07-19,27.28
363,2,2013-07-26,47.59
364,3,2010-02-05,61.18
365,3,2010-02-12,40.46
366,3,2010-02-19,63.44
367,3,2010-02-26,74.84
368,3,2010-03-05,59.46
369,3,2010-03-12,78.38
370,3,2010-03-19,40.9
371,3,2010-03-26,59.74
372,3,2010-04-02,38.05
373,3,2010-04-09,64.45
374,3,2010-04-16,48.01
375,3,2010-04-23,74.33
376,3,2010-04-30,72.81
377,3,2010-05-07,60.68
378,3,2010-05-14,47.91
379,3,2010-05-21,55.68
380,3,2010-05-28,71.98
381,3,2010-06-04,81.89
382,3,2010-06-11,56.92
383,3,2010-06-18,37.6
384,3,2010-06-25,63.43
385,3,2010-07-02,59.56
386,3,2010-07-09,36.31
387,3,2010-07-16,42.74
388,3,2010-07-23,46.41
389,3,2010-07-30,60.83
390,3,2010-08-06,84.23
391,3,2010-08-13,85.4
392,3,2010-08-20,60.86
393,3,2010-08-27,88.25
394,3,2010-09-03,73.75
395,3,2010-09-10,87.12
396,3,2010-09-17,76.68
397,3,2010-09-24,61.12
398,3,2010-10-01,38.73
399,3,2010-10-08,94.32
400,3,2010-10-15,19.92
401,3,2010-10-22,47.21
402,3,2010-10-29,84.72
403,3,2010-11-05,86.21
404,3,2010-11-12,76.34
405,3,2010-11-19,67.83
406,3,2010-11-26,84.16
407,3,2010-12-03,48.3
408,3,2010-12-10,60.34
409,3,2010-12-17,48.1
410,3,2010-12-24,64.22
411,3,2010-12-31,73.6
412,3,2011-01-07,91.52
413,3,2011-01-14,87.24
414,3,2011-01-21,77.23
415,3,2011-01-28,35.51
416,3,2011-02-04,84.37
417,3,2011-02-11,69.97
418,3,2011-02-18,56.73
419,3,2011-02-25,47.84
420,3,2011-03-04,58.46
421,3,2011-03-11,35.56
422,3,2011-03-18,51.56
423,3,2011-03-25,47.49
424,3,2011-04-01,91.14
425,3,2011-04-08,79.35
426,3,2011-04-15,60.72
427,3,2011-04-22,29.37
428,3,2011-04-29,60.43
429,3,2011-05-06,37.22
430,3,2011-05-13,61.46
431,3,2011-05-20,37.86
432,3,2011-05-27,82.95
433,3,2011-06-03,22.81
434,3,2011-06-10,53.1
435,3,2011-06-17,79.91
436,3,2011-06-24,53.01
437,3,2011-07-01,56.06
438,3,2011-07-08,21.71
439,3,2011-07-15,59.0
440,3,2011-07-22,38.08
441,3,2011-07-29,37.22
442,3,2011-08-05,65.34
443,3,2011-08-12,51.93
444,3,2011-08-19,69.71
445,3,2011-08-26,67.15
446,3,2011-09-02,82.48
447,3,2011-09-09,32.11
448,3,2011-09-16,90.8
449,3,2011-09-23,85.37
450,3,2011-09-30,62.04
451,3,2011-10-07,68.89
452,3,2011-10-14,70.19
453,3,2011-10-21,56.87
454,3,2011-10-28,63.33
455,3,2011-11-04,54.49
456,3,2011-11-11,86.92
457,3,2011-11-18,68.48
458,3,2011-11-25,88.23
459,3,2011-12-02,46.65
460,3,2011-12-09,16.64
461,3,2011-12-16,64.55
462,3,2011-12-23,66.8
463,3,2011-12-30,81.75
464,3,2012-01-06,50.74
465,3,2012-01-13,63.68
466,3,2012-01-20,78.46
467,3,2012-01-27,70.63
468,3,2012-02-03,60.87
469,3,2012-02-10,66.65
470,3,2012-02-17,45.5
471,3,2012-02-24,73.33
472,3,2012-03-02,84.95
473,3,2012-03-09,73.56
474,3,2012-03-16,83.49
475,3,2012-03-23,39.98
476,3,2012-03-30,76.11
477,3,2012-04-06,37.61
478,3,2012-04-13,28.1
479,3,2012-04-20,73.03
480,3,2012-04-27,17.63
481,3,2012-05-04,43.16
482,3,2012-05-11,30.55
483,3,2012-05-18,95.25
484,3,2012-05-25,27.65
485,3,2012-06-01,61.11
486,3,2012-06-08,72.83
487,3,2012-06-15,41.2
488,3,2012-06-22,45.77
489,3,2012-06-29,65.43
490,3,2012-07-06,63.38
491,3,2012-07-13,49.05
492,3,2012-07-20,67.14
493,3,2012-07-27,63.37
494,3,2012-08-03,21.12
495,3,2012-08-10,61.04
496,3,2012-08-17,81.54
497,3,2012-08-24,51.18
498,3,2012-08-31,37.29
499,3,2012-09-07,86.94
500,3,2012-09-14,55.58
501,3,2012-09-21,73.03
502,3,2012-09-28,66.2
503,3,2012-10-05,53.47
504,3,2012-10-12,73.63
505,3,2012-10-19,57.0
506,3,2012-10-26,54.11
507,3,2012-11-02,69.07
508,3,2012-11-09,73.99
509,3,2012-11-16,83.75
510,3,2012-11-23,42.06
511,3,2012-11-30,42.02
512,3,2012-12-07,53.64
513,3,2012-12-14,59.05
514,3,2012-12-21,25.08
515,3,2012-12-28,72.34
516,3,2013-01-04,52.82
517,3,2013-01-11,54.12
518,3,2013-01-18,39.77
519,3,2013-01-25,90.72
520,3,2013-02-01,61.33
521,3,2013-02-08,50.82
522,3,2013-02-15,63.67
523,3,2013-02-22,82.98
524,3,2013-03-01,45.54
525,3,2013-03-08,72.83
526,3,2013-03-15,47.77
527,3,2013-03-22,37.96
528,3,2013-03-29,74.08
529,3,2013-04-05,49.06
530,3,2013-04-12,38.88
531,3,2013-04-19,44.01
532,3,2013-04-26,81.87
533,3,2013-05-03,63.27
534,3,2013-05-10,90.07
535,3,2013-05-17,69.83
536,3,2013-05-24,27.9
537,3,2013-05-31,55.51
538,3,2013-06-07,65.66
539,3,2013-06-14,53.32
540,3,2013-06-21,60.92
541,3,2013-06-28,68.54
542,3,2013-07-05,70.25
543,3,2013-07-12,64.78
544,3,2013-07-19,84.84
545,3,2013-07-26,50.82
546,4,2010-02-05,51.08
547,4,2010-02-12,84.78
548,4,2010-02-19,18.98
549,4,2010-02-26,36.67
550,4,2010-03-05,52.34
551,4,2010-03-12,25.28
552,4,2010-03-19,35.8
553,4,2010-03-26,46.94
554,4,2010-04-02,67.05
555,4,2010-04-09,64.32
556,4,2010-04-16,33.7
557,4,2010-04-23,67.91
558,4,2010-04-30,41.86
559,4,2010-05-07,64.48
560,4,2010-05-14,68.24
561,4,2010-05-21,73.56
562,4,2010-05-28,49.52
563,4,2010-06-04,33.7
564,4,2010-06-11,59.38
565,4,2010-06-18,61.59
566,4,2010-06-25,82.38
567,4,2010-07-02,82.33
568,4,2010-07-09,68.64
569,4,2010-07-16,55.99
570,4,2010-07-23,82.11
571,4,2010-07-30,78.91
572,4,2010-08-06,39.45
573,4,2010-08-13,40.24
574,4,2010-08-20,61.08
575,4,2010-08-27,19.6
576,4,2010-09-03,48.29
577,4,2010-09-10,63.0
578,4,2010-09-17,11.63
579,4,2010-09-24,83.41
580,4,2010-10-01,66.93
581,4,2010-10-08,66.05
582,4,2010-10-15,84.71
583,4,2010-10-22,28.95
584,4,2010-10-29,66.32
585,4,2010-11-05,86.24
586,4,2010-11-12,76.21
587,4,2010-11-19,61.91
588,4,2010-11-26,67.49
589,4,2010-12-03,38.3
590,4,2010-12-10,45.22
591,4,2010-12-17,72.38
592,4,2010-12-24,53.91
593,4,2010-12-31,48.93
594,4,2011-01-07,84.28
595,4,2011-01-14,50.47
596,4,2011-01-21,50.36
597,4,2011-01-28,54.45
598,4,2011-02-04,69.17
599,4,2011-02-11,68.01
600,4,2011-02-18,74.25
601,4,2011-02-25,17.77
602,4,2011-03-04,11.41
603,4,2011-03-11,79.23
604,4,2011-03-18,78.97
605,4,2011-03-25,92.51
606,4,2011-04-01,54.86
607,4,2011-04-08,66.99
608,4,2011-04-15,51.68
609,4,2011-04-22,41.44
610,4,2011-04-29,58.25
611,4,2011-05-06,79.54
612,4,2011-05-13,55.3
613,4,2011-05-20,34.72
614,4,2011-05-27,57.99
615,4,2011-06-03,50.52
616,4,2011-06-10,69.61
617,4,2011-06-17,44.13
618,4,2011-06-24,52.94
619,4,2011-07-01,54.15
620,4,2011-07-08,85.48
621,4,2011-07-15,72.09
622,4,2011-07-22,55.73
623,4,2011-07-29,70.01
624,4,2011-08-05,56.73
625,4,2011-08-12,55.14
626,4,2011-08-19,16.96
627,4,2011-08-26,53.68
628,4,2011-09-02,23.87
629,4,2011-09-09,73.44
630,4,2011-09-16,76.5
631,4,2011-09-23,53.98
632,4,2011-09-30,35.79
633,4,2011-10-07,78.17
634,4,2011-10-14,27.33
635,4,2011-10-21,66.7
636,4,2011-10-28,61.44
637,4,2011-11-04,45.71
638,4,2011-11-11,52.0
639,4,2011-11-18,83.26
640,4,2011-11-25,48.59
641,4,2011-12-02,65.5
642,4,2011-12-09,58.75
643,4,2011-12-16,56.06
644,4,2011-12-23,61.68
645,4,2011-12-30,57.86
646,4,2012-01-06,82.57
647,4,2012-01-13,81.33
648,4,2012-01-20,41.88
649,4,2012-01-27,60.93
650,4,2012-02-03,73.41
651,4,2012-02-10,39.63
652,4,2012-02-17,64.76
653,4,2012-02-24,55.23
654,4,2012-03-02,21.62
655,4,2012-03-09,74.52
656,4,2012-03-16,63.42
657,4,2012-03-23,43.73
658,4,2012-03-30,41.7
659,4,2012-04-06,57.39
660,4,2012-04-13,54.11
661,4,2012-04-20,75.94
662,4,2012-04-27,66.92
663,4,2012-05-04,70.74
664,4,2012-05-11,57.15
665,4,2012-05-18,95.24
666,4,2012-05-25,77.89
667,4,2012-06-01,93.22
668,4,2012-06-08,75.97
669,4,2012-06-15,57.18
670,4,2012-06-22,86.8
671,4,2012-06-29,71.47
672,4,2012-07-06,54.55
673,4,2012-07-13,63.1
674,4,2012-07-20,57.21
675,4,2012-07-27,47.82
676,4,2012-08-03,57.31
677,4,2012-08-10,62.41
678,4,2012-08-17,65.81
679,4,2012-08-24,88.88
680,4,2012-08-31,73.92
681,4,2012-09-07,53.67
682,4,2012-09-14,35.77
683,4,2012-09-21,31.2
684,4,2012-09-28,47.7
685,4,2012-10-05,64.13
686,4,2012-10-12,76.68
687,4,2012-10-19,13.05
688,4,2012-10-26,89.73
689,4,2012-11-02,35.55
690,4,2012-11-09,68.04
691,4,2012-11-16,81.95
692,4,2012-11-23,59.74
693,4,2012-11-30,85.64
694,4,2012-12-07,89.22
695,4,2012-12-14,45.26
696,4,2012-12-21,62.14
697,4,2012-12-28,65.79
698,4,2013-01-04,42.13
699,4,2013-01-11,47.27
700,4,2013-01-18,68.73
701,4,2013-01-25,65.07
702,4,2013-02-01,19.78
703,4,2013-02-08,20.9
704,4,2013-02-15,61.76
705,4,2013-02-22,34.89
706,4,2013-03-01,87.35
707,4,2013-03-08,74.37
708,4,2013-03-15,77.29
709,4,2013-03-22,40.47
710,4,2013-03-29,60.16
711,4,2013-04-05,35.45
712,4,2013-04-12,33.92
713,4,2013-04-19,46.79
714,4,2013-04-26,45.85
715,4,2013-05-03,24.1
716,4,2013-05-10,64.82
717,4,2013-05-17,44.2
718,4,2013-05-24,63.14
719,4,2013-05-31,59.24
720,4,2013-06-07,74.54
721,4,2013-06-14,57.74
722,4,2013-06-21,85.66
723,4,2013-06-28,67.71
724,4,2013-07-05,54.08
725,4,2013-07-12,66.85
726,4,2013-07-19,31.53
727,4,2013-07-26,76.94
728,5,2010-02-05,69.66
729,5,2010-02-12,53.12
730,5,2010-02-19,36.45
731,5,2010-02-26,49.38
732,5,2010-03-05,60.01
733,5,2010-03-12,66.86
734,5,2010-03-19,56.57
735,5,2010-03-26,42.38
736,5,2010-04-02,66.75
737,5,2010-04-09,43.28
738,5,2010-04-16,41.0
739,5,2010-04-23,52.45
740,5,2010-04-30,64.5
741,5,2010-05-07,65.75
742,5,2010-05-14,63.02
743,5,2010-05-21,54.77
744,5,2010-05-28,51.32
745,5,2010-06-04,45.91
746,5,2010-06-11,65.52
747,5,2010-06-18,94.87
748,5,2010-06-25,66.23
749,5,2010-07-02,61.01
750,5,2010-07-09,59.13
751,5,2010-07-16,35.8
752,5,2010-07-23,53.56
753,5,2010-07-30,93.6
754,5,2010-08-06,69.17
755,5,2010-08-13,69.42
756,5,2010-08-20,63.99
757,5,2010-08-27,78.83
758,5,2010-09-03,78.32
759,5,2010-09-10,88.53
760,5,2010-09-17,68.6
761,5,2010-09-24,25.07
762,5,2010-10-01,92.19
763,5,2010-10-08,71.69
764,5,2010-10-15,66.78
765,5,2010-10-22,46.86
766,5,2010-10-29,82.91
767,5,2010-11-05,66.49
768,5,2010-11-12,72.24
769,5,2010-11-19,77.78
770,5,2010-11-26,94.07
771,5,2010-12-03,37.28
772,5,2010-12-10,65.3
773,5,2010-12-17,67.83
774,5,2010-12-24,42.9
775,5,2010-12-31,26.55
776,5,2011-01-07,33.63
777,5,2011-01-14,41.35
778,5,2011-01-21,37.17
779,5,2011-01-28,71.39
780,5,2011-02-04,82.5
781,5,2011-02-11,58.17
782,5,2011-02-18,53.25
783,5,2011-02-25,52.52
784,5,2011-03-04,50.47
785,5,2011-03-11,66.09
786,5,2011-03-18,95.94
787,5,2011-03-25,51.39
788,5,2011-04-01,77.25
789,5,2011-04-08,52.27
790,5,2011-04-15,56.17
791,5,2011-04-22,49.06
792,5,2011-04-29,47.63
793,5,2011-05-06,15.19
794,5,2011-05-13,55.16
795,5,2011-05-20,47.04
796,5,2011-05-27,74.31
797,5,2011-06-03,69.01
798,5,2011-06-10,90.87
799,5,2011-06-17,77.95
800,5,2011-06-24,45.33
801,5,2011-07-01,58.23
802,5,2011-07-08,64.31
803,5,2011-07-15,89.12
804,5,2011-07-22,51.28
805,5,2011-07-29,65.59
806,5,2011-08-05,61.8
807,5,2011-08-12,18.43
808,5,2011-08-19,77.01
809,5,2011-08-26,68.45
810,5,2011-09-02,69.22
811,5,2011-09-09,55.67
812,5,2011-09-16,64.65
813,5,2011-09-23,73.14
814,5,2011-09-30,31.27
815,5,2011-10-07,67.47
816,5,2011-10-14,69.32
817,5,2011-10-21,70.88
818,5,2011-10-28,32.3
819,5,2011-11-04,33.38
820,5,2011-11-11,64.72
821,5,2011-11-18,69.68
822,5,2011-11-25,49.75
823,5,2011-12-02,18.6
824,5,2011-12-09,64.83
825,5,2011-12-16,76.78
826,5,2011-12-23,87.41
827,5,2011-12-30,7.81
828,5,2012-01-06,68.26
829,5,2012-01-13,64.5
830,5,2012-01-20,79.11
831,5,2012-01-27,58.96
832,5,2012-02-03,45.08
833,5,2012-02-10,56.73
834,5,2012-02-17,64.37
835,5,2012-02-24,52.37
836,5,2012-03-02,38.82
837,5,2012-03-09,42.76
838,5,2012-03-16,73.67
839,5,2012-03-23,27.67
840,5,2012-03-30,45.08
841,5,2012-04-06,71.21
842,5,2012-04-13,67.51
843,5,2012-04-20,56.55
844,5,2012-04-27,67.58
845,5,2012-05-04,66.98
846,5,2012-05-11,78.83
847,5,2012-05-18,73.5
848,5,2012-05-25,56.14
849,5,2012-06-01,95.65
850,5,2012-06-08,68.87
851,5,2012-06-15,22.52
852,5,2012-06-22,54.88
853,5,2012-06-29,54.57
854,5,2012-07-06,49.26
855,5,2012-07-13,70.92
856,5,2012-07-20,58.52
857,5,2012-07-27,75.43
858,5,2012-08-03,58.92
859,5,2012-08-10,90.23
860,5,2012-08-17,37.29
861,5,2012-08-24,28.7
862,5,2012-08-31,99.87
863,5,2012-09-07,33.32
864,5,2012-09-14,94.53
865,5,2012-09-21,59.27
866,5,2012-09-28,84.21
867,5,2012-10-05,76.13
868,5,2012-10-12,79.44
869,5,2012-10-19,71.31
870,5,2012-10-26,60.75
871,5,2012-11-02,78.92
872,5,2012-11-09,80.81
873,5,2012-11-16,56.97
874,5,2012-11-23,84.32
875,5,2012-11-30,53.51
876,5,2012-12-07,99.47
877,5,2012-12-14,55.26
878,5,2012-12-21,61.34
879,5,2012-12-28,90.84
880,5,2013-01-04,57.39
881,5,2013-01-11,80.53
882,5,2013-01-18,77.04
883,5,2013-01-25,76.31
884,5,2013-02-01,83.04
885,5,2013-02-08,65.07
886,5,2013-02-15,64.54
887,5,2013-02-22,83.62
888,5,2013-03-01,70.11
889,5,2013-03-08,63.95
890,5,2013-03-15,73.54
891,5,2013-03-22,28.45
892,5,2013-03-29,69.47
893,5,2013-04-05,67.44
894,5,2013-04-12,53.07
895,5,2013-04-19,56.88
896,5,2013-04-26,26.86
897,5,2013-05-03,63.83
898,5,2013-05-10,62.92
899,5,2013-05-17,66.92
900,5,2013-05-24,73.19
901,5,2013-05-31,76.27
902,5,2013-06-07,63.4
903,5,2013-06-14,38.29
904,5,2013-06-21,55.54
905,5,2013-06-28,81.68
906,5,2013-07-05,17.09
907,5,2013-07-12,92.57
908,5,2013-07-19,64.84
909,5,2013-07-26,93.04
910,6,2010-02-05,42.74
911,6,2010-02-12,22.69
912,6,2010-02-19,83.84
913,6,2010-02-26,50.33
914,6,2010-03-05,47.12
915,6,2010-03-12,49.17
916,6,2010-03-19,85.43
917,6,2010-03-26,54.03
918,6,2010-04-02,88.27
919,6,2010-04-09,73.18
920,6,2010-04-16,62.09
921,6,2010-04-23,58.62
922,6,2010-04-30,67.19
923,6,2010-05-07,72.85
924,6,2010-05-14,69.55
925,6,2010-05-21,10.92
926,6,2010-05-28,36.51
927,6,2010-06-04,59.74
928,6,2010-06-11,37.77
929,6,2010-06-18,48.51
930,6,2010-06-25,53.68
